model,descriptor,property,pca,R2,Spearman
gp,soap,poisson_ratio,25,0.0834950231469934,0.3734982282361984
gp,soap,poisson_ratio,50,0.1066333166987992,0.3778398239659989
gp,uma,K_Voigt,10,0.431532105810715,0.6465245152397618
gp,uma,K_Voigt,25,0.7685237129054299,0.881561297282089
gp,uma,K_Voigt,50,0.7821818479663619,0.8910697254994451
gp,uma,K_VRH,10,0.4189514930572233,0.6358120296290657
gp,uma,K_VRH,25,0.7669192781323979,0.8804906304645339
gp,uma,K_VRH,50,0.7787177036588628,0.8885427458799489
gp,uma,K_Reuss,10,0.4156842739444215,0.637153763346679
gp,uma,K_Reuss,25,0.7510114492437007,0.8713063933939397
gp,uma,K_Reuss,50,0.7586486897915655,0.8775571531030858
gp,uma,G_Voigt,10,0.3261824942608874,0.6408636690319578
gp,uma,G_Voigt,25,0.6305408766987022,0.8251037821804765
gp,uma,G_Voigt,50,0.6203538165085962,0.8111833736751841
gp,uma,G_VRH,10,0.3200210382935577,0.6382423434627391
gp,uma,G_VRH,25,0.6294237112317249,0.8191523765010716
gp,uma,G_VRH,50,0.6175128367327251,0.801353222854609
gp,uma,G_Reuss,10,0.2970569154823381,0.6100657688405267
gp,uma,G_Reuss,25,0.5923129194699425,0.7810500024313668
gp,uma,G_Reuss,50,0.5602027556475352,0.7514158123300182
gp,uma,elastic_anisotropy,10,-0.00458891410033,0.1351638897005917
gp,uma,elastic_anisotropy,25,-0.0034943886733902,0.2040193626672464
gp,uma,elastic_anisotropy,50,-0.0046139920621786,0.2066455800741185
gp,uma,poisson_ratio,10,0.075468705328433,0.3338341188198657
gp,uma,poisson_ratio,25,0.1998174845222559,0.45488982995999
gp,uma,poisson_ratio,50,0.2569331184527942,0.5128397617381738
mtgp_2,mace,K_Voigt,10,0.5866162874067055,0.829545408784119
mtgp_2,mace,K_Voigt,25,0.794464544784872,0.924422592051022
mtgp_2,mace,K_Voigt,50,0.620399840573868,0.8563497557405906
mtgp_2,mace,K_VRH,10,0.5811963350089571,0.8247568923297148
mtgp_2,mace,K_VRH,25,0.7867160698431526,0.9188000588286644
mtgp_2,mace,K_VRH,50,0.6150707267468548,0.8517834736363268
mtgp_2,mace,K_Reuss,10,0.5613994333348353,0.8096165058123048
mtgp_2,mace,K_Reuss,25,0.7597818160615516,0.9021021759913918
mtgp_2,mace,K_Reuss,50,0.5944839839194606,0.8365635316114103
mtgp_2,mace,G_Voigt,10,0.3938740543645317,0.7285162164722343
mtgp_2,mace,G_Voigt,25,0.6048975777568456,0.8483327769196534
mtgp_2,mace,G_Voigt,50,0.4707308715967704,0.7711932002629744
mtgp_2,mace,G_VRH,10,0.3830482406377962,0.7175782546891547
mtgp_2,mace,G_VRH,25,0.5862232704660258,0.8362691771258808
mtgp_2,mace,G_VRH,50,0.4576051995830585,0.7584011451662722
mtgp_2,mace,G_Reuss,10,0.3527835372965901,0.6807750750861054
mtgp_2,mace,G_Reuss,25,0.5387861332910994,0.7921052200327365
mtgp_2,mace,G_Reuss,50,0.4198639008525835,0.7150888355954461
mtgp_2,mace,elastic_anisotropy,10,-0.0026142354846273,0.1941399988371078
mtgp_2,mace,elastic_anisotropy,25,0.0012693988856849,0.2418415691728282
mtgp_2,mace,elastic_anisotropy,50,-0.007356082355543,0.2338808166358421
mtgp_2,mace,poisson_ratio,10,0.1883925590853729,0.4802640815196066
mtgp_2,mace,poisson_ratio,25,0.2279030639246114,0.5716930673745806
mtgp_2,mace,poisson_ratio,50,0.3413234167624116,0.6074105521843103
mtgp_2,orb,K_Voigt,10,0.6260491098165669,0.8366464181656255
mtgp_2,orb,K_Voigt,25,0.8334704508956374,0.9322124143054776
mtgp_2,orb,K_Voigt,50,0.8187073952148138,0.9233502478135174
mtgp_2,orb,K_VRH,10,0.6194909511080027,0.8296529896962103
mtgp_2,orb,K_VRH,25,0.8193722610375331,0.9228909024207044
mtgp_2,orb,K_VRH,50,0.8047099743636732,0.9144138079024028
mtgp_2,orb,K_Reuss,10,0.5966595217963053,0.8120989059147344
mtgp_2,orb,K_Reuss,25,0.784182447678448,0.9019399837581732
mtgp_2,orb,K_Reuss,50,0.7704629318727753,0.8941968437440192
mtgp_2,orb,G_Voigt,10,0.4906140894231223,0.7795202430236507
mtgp_2,orb,G_Voigt,25,0.7090383176637729,0.8760217487608581
mtgp_2,orb,G_Voigt,50,0.7006354086490129,0.8709757632149241
mtgp_2,orb,G_VRH,10,0.4821822498601893,0.7747702566675585
mtgp_2,orb,G_VRH,25,0.6795345110840274,0.8640371572312043
mtgp_2,orb,G_VRH,50,0.670525663583422,0.8587665609902013
mtgp_2,orb,G_Reuss,10,0.4470250993029722,0.7378359081779131
mtgp_2,orb,G_Reuss,25,0.6120470872616917,0.8159541493317164
mtgp_2,orb,G_Reuss,50,0.5992566309757491,0.809424340107007
mtgp_2,orb,elastic_anisotropy,10,-0.0086083301788046,0.2292250037288391
mtgp_2,orb,elastic_anisotropy,25,-0.0167422500930269,0.2726661355828209
mtgp_2,orb,elastic_anisotropy,50,-0.0136891406758132,0.260513418392999
mtgp_2,orb,poisson_ratio,10,0.1244200951393192,0.3968821506555339
mtgp_2,orb,poisson_ratio,25,0.3344203688859542,0.6344535109431597
mtgp_2,orb,poisson_ratio,50,0.3966829780662593,0.6648738075879661
mtgp_2,soap,K_Voigt,10,0.0329237197932835,0.3020311689821138
mtgp_2,soap,K_Voigt,25,0.0149505024391025,0.3110065426996994
mtgp_2,soap,K_Voigt,50,0.3362018971034831,0.6374916622770483
mtgp_2,soap,K_VRH,10,0.0324458176468833,0.2977029951118858
mtgp_2,soap,K_VRH,25,0.0143548785804717,0.3088491014690932
mtgp_2,soap,K_VRH,50,0.3315863731499448,0.6328977252009562
mtgp_2,soap,K_Reuss,10,0.0310816386262239,0.2946383130742845
mtgp_2,soap,K_Reuss,25,0.0132611306724196,0.3019690691106629
mtgp_2,soap,K_Reuss,50,0.3186678727071594,0.6201256339585093
mtgp_2,soap,G_Voigt,10,0.0198507614506998,0.3253616624099683
mtgp_2,soap,G_Voigt,25,0.0021282691843378,0.3012199169100123
